urbans,immunes,elderly,ccps,cs,hh4+
0.002413554524683062,0.0038972937307332586,0.0019210917663816849,0.006166453270979147,0.006166453270979147,0.0018725736902153716
0.007598181161330912,0.011428966504475167,0.0061295981690823505,0.02228495134663846,0.02228495134663846,0.006825021691382356
0.01759303735440035,0.025948427893401373,0.014242702396352508,0.05335798352521839,0.05335798352521839,0.01637228691303428
0.27211168439410505,0.35673933984612016,0.3652505606478554,0.3519344971864929,0.3519344971864929,0.29672332672392765
0.27792733310454165,0.3643564292709467,0.3730534836232109,0.3594988079902908,0.3594988079902908,0.3030731697630406
0.34339406921785803,0.45010197687112413,0.46089095881723446,0.44465022684794187,0.44465022684794187,0.37455332946673325
0.3258897359869535,0.4271755454134454,0.4374051929575133,0.4218826520571548,0.4218826520571548,0.35544114197832716
0.1921173372892087,0.25196614502004117,0.2579212221678331,0.24788727319195789,0.24788727319195789,0.20938112752595167
0.30185248202986437,0.39569257214000164,0.4051541319830715,0.39061782351361773,0.39061782351361773,0.3291959546710367
0.2696617890748966,0.35353057111592057,0.3619635078313464,0.34874796193411334,0.34874796193411334,0.29404839714791775
0.22603177856595547,0.29638583830970244,0.3034246193313808,0.29199918354412313,0.29199918354412313,0.24641076765536482
0.197559636206352,0.25909423675882237,0.2652232174178422,0.2549659745623772,0.2549659745623772,0.21532332686027142
0.17976890131095868,0.23579268857755,0.2413531831403933,0.23182588222233874,0.23182588222233874,0.19589843038509636
0.2857776881415377,0.37463849053543236,0.38358639555321555,0.3697096251109041,0.3697096251109041,0.31164461634934787
0.15597307354728068,0.20462592506784386,0.20942604647521032,0.20087507243304004,0.20087507243304004,0.16991684538771498
0.26220019827306174,0.34375769671808365,0.3519522053611931,0.3390428035371576,0.3390428035371576,0.2859014245963066
0.0006028194059838954,0.00022901342164807756,0.000552249269544123,0.004084751125498002,0.004084751125498002,0.0012915631421317533
0.006422382261316741,0.002439887837378875,0.005883612699489068,0.04351856113104762,0.04351856113104762,0.013760194398285658
0.0032324533477402924,0.0012280215171167933,0.002961284892962988,0.02190335500024478,0.02190335500024478,0.006925652295130811
0.004177716012659564,0.0015871304560468814,0.003827250074321043,0.02830852825129203,0.02830852825129203,0.008950912937910425
0.0006563534023908054,0.00024935119374025515,0.0006012923330520744,0.00444750164398641,0.00444750164398641,0.0014062617333247948
0.003751003729388719,0.0014250208108014348,0.0034363344130091617,0.025417092670333014,0.025417092670333014,0.00803666589825518
0.006311690287597912,0.0023978355288455204,0.005782206605020613,0.04276850371792634,0.04276850371792634,0.013523032701157288
0.0023877905578170403,0.0009071308594190497,0.002187480327091598,0.01617985431735956,0.01617985431735956,0.005115930650197247
0.0021119092772762024,0.0008023224949268848,0.0019347425516530203,0.014310461328337038,0.014310461328337038,0.00452484467981597
0.003435488024772841,0.0013051551754543927,0.003147287120114825,0.023279133744743233,0.023279133744743233,0.0073606616906924235
