state,District_Key,dust_pop,area,density,confirmed,active,recovered,deceased,migrated_other,state_pop,district,morbidity_percent
Andhra Pradesh,AP_Anantapur,4540646.28,19130.0,237.35735912179825,67121,149,66377,595,0,42332781.5,Anantapur,23.5
Andhra Pradesh,AP_Chittoor,4637560.416,15152.0,306.06919324181627,85381,452,84092,837,0,42332781.5,Chittoor,25.8
Andhra Pradesh,AP_East Godavari,5728522.488,10807.0,530.0751816415286,123267,489,122142,636,0,42332781.5,East Godavari,24.5
Andhra Pradesh,AP_Guntur,5436823.76,11391.0,477.2911737336494,74228,621,72947,660,0,42332781.5,Guntur,29.200000000000003
Andhra Pradesh,AP_Kadapa,3207590.688,15359.0,208.8411151767693,54774,122,54197,455,0,42332781.5,Kadapa,27.799999999999997
Andhra Pradesh,AP_Krishna,5036258.008,8727.0,577.0892641228372,47104,809,45638,657,0,42332781.5,Krishna,22.0
Andhra Pradesh,AP_Kurnool,4499820.312,17658.0,254.83182195039075,60483,149,59847,487,0,42332781.5,Kurnool,24.9
Andhra Pradesh,AP_Prakasam,3772753.568,17626.0,214.0447956428004,61888,207,61103,578,0,42332781.5,Prakasam,22.0
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,3298283.184,13076.0,252.23946038543895,61911,570,60837,504,0,42332781.5,Sri Potti Sriramulu Nellore,31.700000000000003
Andhra Pradesh,AP_Srikakulam,3001811.752,5837.0,514.2730430015419,45819,178,45295,346,0,42332781.5,Srikakulam,34.9
Andhra Pradesh,AP_Visakhapatnam,4768381.656,11161.0,427.23605913448614,58825,243,58033,549,0,42332781.5,Visakhapatnam,32.2
Andhra Pradesh,AP_Vizianagaram,2605269.216,6539.0,398.4201278482949,40958,79,40641,238,0,42332781.5,Vizianagaram,28.700000000000003
Andhra Pradesh,AP_West Godavari,4375477.584,7742.0,565.1611449237922,93631,287,92812,532,0,42332781.5,West Godavari,26.5
Arunachal Pradesh,AR_Anjaw,23450.967999999997,6190.0,3.7885247172859446,204,10,194,0,0,1382611.0,Anjaw,23.5
Arunachal Pradesh,AR_Changlang,164521.512,4662.0,35.28989961389961,1271,14,1253,4,0,1382611.0,Changlang,25.099999999999998
Arunachal Pradesh,AR_East Kameng,87195.256,4134.0,21.092224479922592,304,1,303,0,0,1382611.0,East Kameng,24.799999999999997
Arunachal Pradesh,AR_East Siang,110109.12800000001,3603.0,30.560401887316125,1115,25,1086,4,0,1382611.0,East Siang,27.0
Arunachal Pradesh,AR_Kamle,24748.672000000002,200.0,123.74336000000001,29,0,29,0,0,1382611.0,Kamle,27.47857142857143
Arunachal Pradesh,AR_Kurung Kumey,99765.304,6040.0,16.517434437086095,117,0,117,0,0,1382611.0,Kurung Kumey,23.799999999999997
Arunachal Pradesh,AR_Lohit,161838.256,2402.0,67.37645961698584,567,5,562,0,0,1382611.0,Lohit,40.5
