state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP
Andhra Pradesh,AP_Anantapur,4540646.28,19130.0,237.35735912179823,67121,149,66377,595,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Chittoor,4637560.416,15152.0,306.06919324181627,85381,452,84092,837,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_East Godavari,5728522.488,10807.0,530.0751816415286,123267,489,122142,636,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Guntur,5436823.76,11391.0,477.2911737336494,74228,621,72947,660,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Kadapa,3207590.688,15359.0,208.84111517676934,54774,122,54197,455,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Krishna,5036258.008,8727.0,577.0892641228372,47104,809,45638,657,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Kurnool,4499820.312,17658.0,254.83182195039075,60483,149,59847,487,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Prakasam,3772753.568,17626.0,214.0447956428004,61888,207,61103,578,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,3298283.184,13076.0,252.23946038543897,61911,570,60837,504,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Srikakulam,3001811.752,5837.0,514.2730430015419,45819,178,45295,346,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Visakhapatnam,4768381.656,11161.0,427.2360591344862,58825,243,58033,549,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_Vizianagaram,2605269.216,6539.0,398.42012784829484,40958,79,40641,238,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,AP_West Godavari,4375477.584,7742.0,565.1611449237922,93631,287,92812,532,0,42332781.5,1599.5,1117.0,2.0,0.5
Arunachal Pradesh,AR_Anjaw,23450.968,6190.0,3.788524717285945,204,10,194,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Changlang,164521.512,4662.0,35.289899613899614,1271,14,1253,4,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_East Kameng,87195.256,4134.0,21.092224479922592,304,1,303,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_East Siang,110109.128,3603.0,30.560401887316125,1115,25,1086,4,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Kamle,24748.672,200.0,123.74336,29,0,29,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Kurung Kumey,99765.304,6040.0,16.517434437086095,117,0,117,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Lohit,161838.256,2402.0,67.37645961698584,567,5,562,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Longding,66720.0,1200.0,55.6,248,2,246,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Lower Dibang Valley,60032.432,3900.0,15.392931282051283,471,9,462,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Lower Subansiri,92116.968,3508.0,26.25911288483466,381,0,380,1,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Namsai,106696.4,1587.0,67.23150598613736,426,3,419,4,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Papum Pare,196140.12,2875.0,68.22265043478261,6740,94,6617,29,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Shi Yomi,14800.72,2875.0,5.14807652173913,104,4,100,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Siang,35495.04,2919.0,12.16,132,5,126,1,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Tawang,55544.4,2085.0,26.64,447,29,417,1,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Tirap,124540.664,2362.0,52.72678408128704,584,5,577,2,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Upper Dibang Valley,8838.176,9129.0,0.9681428414941395,23,0,23,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Upper Siang,39241.368,6188.0,6.341526826115062,359,1,358,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_Upper Subansiri,92523.96,7032.0,13.15755972696246,440,0,438,2,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_West Kameng,96758.456,7422.0,13.036709242791702,911,22,885,4,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,AR_West Siang,124846.464,8325.0,14.996572252252253,1028,4,1021,3,0,1382611.0,393.0,164.0,28.0,2.0
Assam,AS_Baksa,1060595.576,2008.0,528.1850478087649,687,233,447,7,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Barpeta,1882827.28,3245.0,580.224123266564,1121,85,1024,12,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Bishwanath,681089.992,1100.0,619.17272,467,82,379,6,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Bongaigaon,814694.568,1724.0,472.5606542923434,1303,463,834,6,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Cachar,1930786.7280000001,3786.0,509.98064659271,6216,4681,1498,37,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Charaideo,524216.816,1069.0,490.38055753040226,113,-3,105,11,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Chirang,535781.616,1975.0,271.28183088607597,280,53,219,8,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Darrang,1009796.08,1849.0,546.1309248242293,1967,219,1730,18,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Dhemaji,765141.624,3237.0,236.37368674698794,765,317,440,8,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Dhubri,2166878.784,2838.0,763.5231797040169,1723,497,1215,11,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Dibrugarh,1476455.776,3381.0,436.6920366755398,9486,6975,2409,102,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Dima Hasao,237444.248,4888.0,48.57697381342062,237,36,199,2,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Goalpara,1121962.408,1824.0,615.1109692982457,658,38,568,10,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Golaghat,1177245.488,3502.0,336.1637601370645,3803,2102,1656,45,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Hailakandi,733097.12,1327.0,552.4469630746044,1632,509,1116,7,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Jorhat,1213520.04,2851.0,425.6471553840758,8771,6967,1752,52,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Kamrup,1687128.624,3480.0,484.807075862069,4590,2484,2074,32,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Kamrup Metropolitan,1401585.928,627.0,2235.384255183413,49851,34335,15370,146,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Karbi Anglong,1073391.36,10434.0,102.87438757906844,632,69,552,11,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Karimganj,1353306.224,1809.0,748.0963095632947,1200,219,955,26,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Kokrajhar,986342.888,3129.0,315.22623457973793,408,43,353,12,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Lakhimpur,1157196.128,2277.0,508.2108599033817,3006,1847,1135,24,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Majuli,186042.048,880.0,211.4114181818182,165,79,80,6,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,AS_Morigaon,1065132.536,1704.0,625.077779342723,638,72,557,9,0,31169272.0,2120.0,801.0,7.0,3.0
