state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP,state_population,ccp_district,cce_district,cluster
Arunachal Pradesh,AR_Tawang,55544.4,2085.0,26.64,447,29,417,1,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,5.100597927706972,12.222774302370977,2
Arunachal Pradesh,AR_Tirap,124540.664,2362.0,52.72678408128704,584,5,577,2,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,11.436469791979937,27.405686757610457,2
Arunachal Pradesh,AR_Upper Dibang Valley,8838.176,9129.0,0.9681428414941396,23,0,23,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,0.8116026492375378,1.9448770801850752,2
Arunachal Pradesh,AR_Upper Siang,39241.367999999995,6188.0,6.341526826115063,359,1,358,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,3.6035035089259524,8.635224871999386,2
Arunachal Pradesh,AR_Upper Subansiri,92523.96,7032.0,13.157559726962461,440,0,438,2,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,8.496401412910084,20.360278995571115,2
Arunachal Pradesh,AR_West Kameng,96758.45599999999,7422.0,13.036709242791703,911,22,885,4,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,8.885251801472808,21.292097304748864,2
Arunachal Pradesh,AR_West Siang,124846.464,8325.0,14.996572252252252,1028,4,1021,3,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,11.464551161952299,27.472979308824716,2
Assam,AS_Baksa,1060595.576,2008.0,528.1850478087649,687,233,447,7,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,22.958709960797776,60.76462561409649,2
Assam,AS_Barpeta,1882827.28,3245.0,580.224123266564,1121,85,1024,12,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,40.75755774017842,107.87268715253214,3
Assam,AS_Biswanath,681089.9920000001,1100.0,619.17272,467,82,379,6,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,14.74355346880127,39.021639642769905,2
Assam,AS_Bongaigaon,814694.568,1724.0,472.5606542923434,1303,463,834,6,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,17.635691413962153,46.67623695081119,2
Assam,AS_Cachar,1930786.728,3786.0,509.98064659270995,6216,4681,1498,37,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,41.79573579921264,110.62042433749163,3
Assam,AS_Charaideo,524216.816,1069.0,490.3805575304023,113,-3,105,11,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,11.347720193693224,30.03391611813937,2
Assam,AS_Chirang,535781.616,1975.0,271.281830886076,280,53,219,8,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,11.59806339232885,30.696497367961502,2
Assam,AS_Darrang,1009796.08,1849.0,546.1309248242293,1967,219,1730,18,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,21.859053389329382,57.85417376451722,2
Assam,AS_Dhemaji,765141.6240000001,3237.0,236.37368674698794,765,317,440,8,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,16.563018950731312,43.837203714794484,2
Assam,AS_Dhubri,2166878.784,2838.0,763.5231797040169,1723,497,1215,11,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,46.906419984974725,124.14682942340377,3
Assam,AS_Dibrugarh,1476455.7759999998,3381.0,436.6920366755398,9486,6975,2409,102,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,31.96083474058222,84.59047397008028,0
Assam,AS_Dima Hasao,237444.24800000002,4888.0,48.57697381342062,237,36,199,2,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,5.139955082833326,13.603876124352873,2
Assam,AS_Goalpara,1121962.408,1824.0,615.1109692982458,658,38,568,10,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,24.28711763001948,64.28051108070075,2
Assam,AS_Golaghat,1177245.488,3502.0,336.1637601370645,3803,2102,1656,45,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,25.483830333881993,67.4478405840572,2
Assam,AS_Hailakandi,733097.12,1327.0,552.4469630746044,1632,509,1116,7,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,15.869351647357961,42.00128026516714,2
Assam,AS_Jorhat,1213520.04,2851.0,425.6471553840758,8771,6967,1752,52,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,26.269065476448606,69.52611586775411,0
Assam,AS_Kamrup,1687128.624,3480.0,484.80707586206904,4590,2484,2074,32,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,36.521269390035485,96.6605382108305,3
Assam,AS_Kamrup Metropolitan,1401585.928,627.0,2235.384255183413,49851,34335,15370,146,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,30.340127315492026,80.30096118457315,0
Assam,AS_Karbi Anglong,1073391.36,10434.0,102.87438757906843,632,69,552,11,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,23.235700267211257,61.49773354118335,2
Assam,AS_Karimganj,1353306.2240000002,1809.0,748.0963095632947,1200,219,955,26,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,29.295016675572512,77.53487559577243,2
Assam,AS_Kokrajhar,986342.8879999999,3129.0,315.22623457973793,408,43,353,12,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,21.351362196788614,56.51047173182505,2
Assam,AS_Lakhimpur,1157196.128,2277.0,508.2108599033817,3006,1847,1135,24,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,25.049821884708884,66.29915405191366,2
Assam,AS_Majuli,186042.048,880.0,211.4114181818182,165,79,80,6,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,4.02725177928219,10.658893598100178,2
Assam,AS_Morigaon,1065132.5359999998,1704.0,625.077779342723,638,72,557,9,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,23.056921523339444,61.02456133518055,2
Assam,AS_Nagaon,3142518.6720000007,3831.0,820.2867846515271,4515,1984,2506,25,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,68.02609436571836,180.0440949504656,3
Assam,AS_Nalbari,856149.928,1009.0,848.5133082259662,948,105,828,15,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,18.53307549522524,49.05133589248129,2
Assam,AS_Sivasagar,1279081.336,2668.0,479.4157931034482,529,23,473,33,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,27.688270698098524,73.28231445688998,2
Assam,AS_South Salmara Mankachar,617286.7679999999,568.0,1086.7724788732396,51,3,47,1,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,13.362405227636236,35.36616614555408,2
Assam,AS_Sonitpur,2141684.2,5324.0,402.2697595792637,2548,805,1727,16,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,46.36103288387017,122.70335794482493,3
Assam,AS_Tinsukia,1464446.176,3790.0,386.39740791556727,3366,1527,1798,41,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,31.70086295738369,83.90240882603423,2
