state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP
Assam,Charaideo,524216.816,1069.0,490.3805575304023,113,-3,105,11,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Chirang,535781.616,1975.0,271.281830886076,280,53,219,8,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Darrang,1009796.08,1849.0,546.1309248242293,1967,219,1730,18,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Dhemaji,765141.6240000001,3237.0,236.37368674698794,765,317,440,8,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Dhubri,2166878.784,2838.0,763.5231797040169,1723,497,1215,11,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Dibrugarh,1476455.7759999998,3381.0,436.6920366755398,9486,6975,2409,102,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Dima Hasao,237444.24800000002,4888.0,48.57697381342062,237,36,199,2,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Goalpara,1121962.408,1824.0,615.1109692982458,658,38,568,10,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Golaghat,1177245.488,3502.0,336.1637601370645,3803,2102,1656,45,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Hailakandi,733097.12,1327.0,552.4469630746044,1632,509,1116,7,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Jorhat,1213520.04,2851.0,425.6471553840758,8771,6967,1752,52,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Kamrup,1687128.624,3480.0,484.80707586206904,4590,2484,2074,32,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Kamrup Metropolitan,1401585.928,627.0,2235.384255183413,49851,34335,15370,146,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Karbi Anglong,1073391.36,10434.0,102.87438757906843,632,69,552,11,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Karimganj,1353306.2240000002,1809.0,748.0963095632947,1200,219,955,26,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Kokrajhar,986342.8879999999,3129.0,315.22623457973793,408,43,353,12,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Lakhimpur,1157196.128,2277.0,508.2108599033817,3006,1847,1135,24,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Majuli,186042.048,880.0,211.4114181818182,165,79,80,6,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Morigaon,1065132.5359999998,1704.0,625.077779342723,638,72,557,9,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Nagaon,3142518.6720000007,3831.0,820.2867846515271,4515,1984,2506,25,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Nalbari,856149.928,1009.0,848.5133082259662,948,105,828,15,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Sivasagar,1279081.336,2668.0,479.4157931034482,529,23,473,33,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,South Salmara,617286.7679999999,568.0,1086.7724788732396,51,3,47,1,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Sonitpur,2141684.2,5324.0,402.2697595792637,2548,805,1727,16,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Tinsukia,1464446.176,3790.0,386.39740791556727,3366,1527,1798,41,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,Udalguri,926039.128,1676.0,552.5293126491647,758,84,666,8,0,31169272.0,2120.0,801.0,7.0,3.0
Assam,West Karbi Anglong,333955.84,3035.0,110.03487314662273,39,1,37,1,0,31169272.0,2120.0,801.0,7.0,3.0
Bihar,Araria,3120494.4,2829.0,1103.0379639448568,7106,63,7021,22,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Arwal,779337.416,638.0,1221.532,2241,36,2194,11,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Aurangabad,2792502.216,3303.0,845.4442070844686,4958,35,4908,15,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Banka,2256624.9680000003,3018.0,747.7219907223326,3377,87,3271,19,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Begusarai,3285256.104,1917.0,1713.7486197183096,7514,81,7401,32,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Bhagalpur,3371835.312,2569.0,1312.5088797197352,9270,159,9036,75,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Bhojpur,3024812.36,2473.0,1223.134799838253,4884,38,4804,42,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Buxar,1898899.0159999998,1624.0,1169.2727931034485,3928,52,3859,17,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Darbhanga,4361231.752,2278.0,1914.5003301141355,3984,40,3912,32,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,East Champaran,5652149.216,3969.0,1424.0738765432097,8237,84,8103,50,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Gaya,4869873.896000001,4978.0,978.2792077139412,7660,209,7392,59,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Gopalganj,2844537.144,2033.0,1399.1820678799802,5675,63,5597,15,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Jamui,1952758.736,3099.0,630.1254391739271,3118,26,3082,10,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Jehanabad,1250083.712,1569.0,796.7391408540473,4345,99,4228,18,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Kaimur,1809112.8,3363.0,537.9461195361284,1978,19,1949,10,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Katihar,3411781.688,3056.0,1116.4207094240835,7095,106,6977,12,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Khagaria,1843250.0880000002,1486.0,1240.4105572005385,3022,27,2983,12,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Kishanganj,1880334.176,1884.0,998.0542335456475,4229,96,4120,13,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Lakhisarai,1112797.304,1229.0,905.449393002441,3630,82,3539,9,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Madhepura,2218015.216,1787.0,1241.1948606603246,4755,43,4696,16,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Madhubani,4977360.928,3501.0,1421.6969231648102,7510,54,7425,31,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Munger,1511268.0480000002,1419.0,1065.023289640592,4108,68,3991,49,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Muzaffarpur,5313814.32,3173.0,1674.697232902616,11224,198,10981,45,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Nalanda,3194245.5760000004,2354.0,1356.9437451146982,7966,130,7781,55,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Nawada,2464918.136,2492.0,989.1324783306579,4060,141,3897,22,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Patna,6419358.0479999995,3202.0,2004.7963922548406,46359,1926,44077,356,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Purnia,3639717.224,3228.0,1127.54560842627,9180,92,9067,21,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Rohtas,3294403.416,3850.0,855.689198961039,6622,71,6506,45,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Saharsa,2109577.424,1702.0,1239.4696968272622,6646,88,6547,11,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Samastipur,4731317.584,2905.0,1628.680751807229,5104,68,5002,34,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Saran,4384724.976,2641.0,1660.251789473684,6899,222,6625,52,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Sheikhpura,706038.824,689.0,1024.7297880986937,2965,8,2946,11,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Sheohar,730490.5920000001,443.0,1648.9629616252819,1404,62,1341,1,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Sitamarhi,3802619.664,2199.0,1729.2495061391544,4261,99,4148,14,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Siwan,3689811.712,2219.0,1662.82636863452,4586,100,4458,28,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Supaul,2477977.464,2410.0,1028.2064165975103,5519,28,5474,17,0,103804637.0,2069.0,586.0,2.0,4.0
Bihar,Vaishali,3886463.352,2036.0,1908.8719803536346,5302,69,5188,44,1,103804637.0,2069.0,586.0,2.0,4.0
Bihar,West Champaran,4375766.704,5229.0,836.8266789061006,5924,97,5805,22,0,103804637.0,2069.0,586.0,2.0,4.0
Chhattisgarh,Balod,918695.48,3527.0,260.47504394669687,8522,928,7523,71,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Baloda Bazar,1451541.416,4748.0,305.7163892165122,8455,172,8162,121,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Balrampur,665926.76,3806.0,174.96761954808198,3159,165,2983,11,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Bastar,1448105.336,4030.0,359.3313488833748,7487,153,7256,78,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Bemetara,219102.92,2855.0,76.74357968476356,4289,464,3777,48,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Bijapur,255573.18399999998,6562.0,38.94745260591283,3958,39,3891,28,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Bilaspur,2181657.264,5818.0,374.98406050189067,16952,400,16368,184,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Dantewada,593405.456,3411.0,173.96817824684842,5765,22,5728,15,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Dhamtari,888709.288,2029.0,438.0035919172005,7302,557,6645,100,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Durg,3717503.848,8542.0,435.20297916178885,21437,1860,19034,543,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Gariaband,664590.1359999999,5823.0,114.13191413360808,3813,143,3624,46,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Gaurella-Pendra-Marwahi,374099.04,2307.0,162.15823146944084,946,233,704,9,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Janjgir-Champa,1802142.784,3848.0,468.33232432432436,17808,159,17453,196,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Jashpur,947471.816,5825.0,162.65610575107297,3098,296,2781,21,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Kabirdham,650149.704,4237.0,153.445764455983,5365,259,5040,66,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Kondagaon,643098.512,7769.0,82.77751473806153,4818,132,4661,25,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Korba,1341698.0559999999,6615.0,202.82661466364326,15360,110,15149,101,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Koriya,732851.368,6578.0,111.40945089692914,4426,186,4204,36,0,25540196.0,1340.0,513.0,5.0,3.0
