population_x,Confirmed,Active,Deceased,density,cce_district,ccp_district,cluster,score,dist_key
1.580408833419491,1.7900553034532414,-0.20551625221665115,0.6336970201060959,-0.20785535064710906,0.4591486367055513,1.4330421308996342,1,-6.918356591265996,AP_Anantapur
1.6390062076229264,2.3933807583568116,-0.12415458958277453,1.0083677484285765,-0.1888357302932632,0.4906234724502361,1.4841677524056889,1,-7.472325690214604,AP_Chittoor
2.298636633206446,3.6451654343960596,-0.11421933704992492,0.6971742922599046,-0.12683027066736005,0.844935582500734,2.059688685394591,1,-16.67310909711166,AP_East Godavari
2.122266289056836,2.0248764429932016,-0.07877465233813707,0.734331719862134,-0.1414410259181762,0.7502004909065267,1.9058073283805261,1,-14.155496270269712,AP_Guntur
0.774400952810557,1.3821002436671306,-0.21276630136224411,0.41694535909309044,-0.21574872361114258,0.026211734737674255,0.7298083359543655,3,-9.92184604674419,AP_Y.S.R. Kadapa
1.8800714738131195,1.1286771199480514,-0.028292828657711985,0.7296870414118554,-0.11381664628182822,0.620108620210325,1.6944947802808328,1,-15.963710956765798,AP_Krishna
1.5557241524962302,1.5707303105918011,-0.20551625221665115,0.46648859589606306,-0.2030183723719156,0.4458895736838497,1.411504994278137,1,-7.114239363892201,AP_Kurnool
1.1161164355266304,1.617152668978412,-0.18994207257056256,0.6073771755545165,-0.21430833087277146,0.209759868696099,1.0279516686478738,3,-4.664604838381685,AP_Prakasam
0.8292365252553813,1.6179126079413244,-0.09246918961314601,0.4928084404476423,-0.20373594502030634,0.05566596641833919,0.7776518231411614,3,-3.780210340272551,AP_S.P.S. Nellore
0.6499804522142686,1.0862196604983752,-0.19772916239360686,0.24818870873296478,-0.1312043451126211,-0.04061915781979529,0.6212526966010448,3,1.5850816130532097,AP_Srikakulam
1.718104897147821,1.5159486236131527,-0.1802753403764386,0.5624786172018226,-0.15529641616698597,0.533110329485375,1.5531805659873195,1,-10.519210527703232,AP_Visakhapatnam
0.4102182015393907,0.9256082127280435,-0.22431267592744772,0.08098028452293207,-0.16327274339249073,-0.16940440733572493,0.4120625366992209,3,1.0680335146515088,AP_Vizianagaram
1.480542577724806,2.6659675602710755,-0.16846044547250932,0.5361587726502434,-0.11711838173405015,0.40550674511644635,1.3459098240466416,1,-11.256181979417423,AP_West Godavari
-1.1508313650925992,-0.42093754790394466,-0.24284057929951863,-0.28749753919917703,-0.2725078317481761,-0.9579841578675408,-0.9064636818267219,2,4.842372447112999,AR_Anjaw
-1.0655356198377461,-0.38568298818969987,-0.24176649794461597,-0.28130463459880545,-0.2637881665139277,-0.6118829929744684,-0.570524578900071,2,4.79644140259282,AR_Changlang
-1.1122895377448576,-0.41763346545649904,-0.24525726234804962,-0.28749753919917703,-0.2677181211485808,-0.8015945126126142,-0.7546658768404586,2,4.836137611199506,AR_East Kameng
-1.0984350807228849,-0.39083735680771503,-0.23881277421863367,-0.28130463459880545,-0.2650973041956096,-0.7453778314647004,-0.7000998038248466,2,4.819721057987882,AR_East Siang
-1.1500467319107763,-0.4267196921869745,-0.2455257826867753,-0.28749753919917703,-0.23930401095217926,-0.9548003829039566,-0.9033733873877615,2,5.433992312176085,AR_Kamle
-1.1046892862561466,-0.4238120996332223,-0.2455257826867753,-0.28749753919917703,-0.26898443532761035,-0.7707552733766627,-0.7247321250512477,2,4.809089683857491,AR_Kurung Kumey
-1.0671580019009326,-0.40894372861971706,-0.24418318099314698,-0.28749753919917703,-0.2549065204694685,-0.6184660683704655,-0.576914365087913,2,4.964496932120971,AR_Lohit
-1.1246695298416054,-0.4194837516270686,-0.24498874200932397,-0.28749753919917703,-0.25816627614177723,-0.8518283158726616,-0.8034247384553505,2,5.016964057903043,AR_Longding
-1.1287130465129702,-0.41211564776926485,-0.2431090996382443,-0.28749753919917703,-0.2692957008231305,-0.8682355332085617,-0.8193502146814929,2,4.836475472533923,AR_Lower Dibang Valley
-1.1093137138693236,-0.4150893219719659,-0.2455257826867753,-0.28594931304908416,-0.2662879125516095,-0.7895196300172213,-0.7429455313504509,2,4.851010210913863,AR_Lower Subansiri
-1.1004985247974475,-0.41360248487061535,-0.2447202216705983,-0.28130463459880545,-0.2549466440240637,-0.7537505867031236,-0.7082267221051977,2,5.017085642673284,AR_Namsai
-1.0464180021068537,-0.2049827191388989,-0.22028487084656276,-0.2425989808464831,-0.25467229257688606,-0.5343101932190678,-0.49522943573177486,2,4.717049340920598,AR_Papum Pare
-1.1560615806207915,-0.4242416303513903,-0.24445170133187263,-0.28749753919917703,-0.27213150415478193,-0.9792065961209436,-0.9270629966859107,2,4.864786632616946,AR_Shi Yomi
-1.1435491354505054,-0.4233164872661055,-0.24418318099314698,-0.28594931304908416,-0.27019058489080483,-0.92843534327407,-0.8777824658298232,2,4.865562491648194,AR_Siang
-1.1314266536439361,-0.4129086275566518,-0.237738692863731,-0.28594931304908416,-0.2661824819744623,-0.8792464293122683,-0.8300378139579664,2,4.885901936014092,AR_Tawang
-1.0897093142844125,-0.4083820346036513,-0.24418318099314698,-0.28440108689899124,-0.25896159003011116,-0.7099716348259725,-0.6657331875190806,2,4.92669199395833,AR_Tirap
-1.1596667246832886,-0.4269179371338212,-0.2455257826867753,-0.28749753919917703,-0.27328852103143303,-0.9938350462963835,-0.9412619330884009,2,4.858566130407168,AR_Upper Dibang Valley
-1.1412839861878137,-0.4158162201104039,-0.24525726234804962,-0.28749753919917703,-0.2718011539030223,-0.9192441368881961,-0.868861127385215,2,4.830110566020988,AR_Upper Siang
