state,District_Key,confirmed,active,recovered,deceased,migrated_other,covid_index,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,dist_index,district,cluster
Andaman and Nicobar Islands,AN_Nicobar,1e-05,0.0004793945992463458,1e-05,1e-05,1e-05,1e-05,0.00042982327386498296,0.002423506253592569,0.003907215784858645,0.0019310533445463574,0.0018747523395369746,0.00617632994191373,0.00617632994191373,0.002470749181283753,Nicobar,4
Andaman and Nicobar Islands,AN_North and Middle Andaman,1.261631725050954e-05,0.0004793945992463458,1.271363520415086e-05,1e-05,1e-05,1.1232238089761784e-05,0.0006108299107182813,0.007608029197707684,0.011438737925145078,0.006139475577118971,0.0067799500054378965,0.02229450564761154,0.02229450564761154,0.007295352665102823,North and Middle Andaman,4
Andaman and Nicobar Islands,AN_South Andaman,0.00014343217977598645,0.0007271306377374727,9.68363265328275e-05,1e-05,1e-05,3.7872441138113397e-05,0.0019456680523487547,0.01760268549365326,0.02595790892484351,0.014252417542304585,0.016236126641709266,0.05336691636554791,0.05336691636554791,0.017887411977009403,South Andaman,4
Andhra Pradesh,AP_Anantapur,0.17561983017145072,0.0024221666905714988,0.1801329639459216,0.05419835154826959,1e-05,0.0975618024355828,0.004672486064357906,0.27211624216041697,0.3567422050593232,0.3652532556366425,0.2949283108818964,0.3519374584965493,0.3519374584965493,0.17970366362054718,Anantapur,1
Andhra Pradesh,AP_Chittoor,0.2233937831657549,0.006372904567561575,0.2282050115874541,0.07623798360655737,1e-05,0.13050322440000345,0.0060277423407743905,0.27793177455787943,0.3643591421423613,0.3730560225535384,0.3012392547656961,0.35950161801413105,0.35950161801413105,0.1897773015658935,Chittoor,1
Andhra Pradesh,AP_East Godavari,0.3225155785185592,0.0068553379056758785,0.3314588311053943,0.05793233879781421,1e-05,0.1366897280789973,0.010445984491075892,0.3433972013364736,0.4501029748315867,0.4608917409980581,0.3722815268213023,0.44465133384340505,0.44465133384340505,0.24616366318372826,East Godavari,1
Andhra Pradesh,AP_Guntur,0.19421399687082197,0.008576451436245813,0.19796154723719275,0.060118087431694,1e-05,0.10805449571553616,0.009404884963931557,0.3258932181922337,0.4271770019025371,0.4374064448536542,0.3532864206441828,0.4218842144041138,0.4218842144041138,0.2318489053270715,Guntur,1
Andhra Pradesh,AP_Kadapa,0.14331616107940945,0.00207012074113674,0.14708088715936415,0.04144815118397086,1e-05,0.07707262751149517,0.004110038283982546,0.1921234949424629,0.2519711056971408,0.2579260637433898,0.20812117022805413,0.2478923154464941,0.2478923154464941,0.13083702850953466,Kadapa,1
Andhra Pradesh,AP_Krishna,0.12324900776800128,0.011027734343421174,0.12385488344703692,0.05984486885245902,1e-05,0.08588259838914833,0.01137327934761347,0.3018564449802237,0.3956946582885588,0.4051560289004319,0.3272020114240038,0.3906200111571476,0.3906200111571476,0.2230630603181027,Krishna,1
Andhra Pradesh,AP_Kurnool,0.1582527162625684,0.0024221666905714988,0.1624129260628165,0.04436248269581057,1e-05,0.08378832488338224,0.005017148315464329,0.269666395839115,0.3535335005044983,0.3619662685611899,0.2922697679315696,0.3487509869748747,0.3487509869748747,0.18013562233546673,Kurnool,1
Andhra Pradesh,AP_Prakasam,0.1619286419995343,0.003178413544912834,0.16582125187922994,0.052650112932604735,1e-05,0.09233396605961862,0.004212674470345092,0.2260372579303841,0.29638991059293635,0.30342855083899417,0.2449239666837405,0.2920033435604523,0.2920033435604523,0.15098142910130827,Prakasam,1
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,0.16198881729629602,0.007911475753980155,0.16509942491492585,0.045910721311475416,1e-05,0.08623817858968122,0.0049660171773330845,0.19756568501362784,0.2590990548740873,0.26522791295349385,0.2140269676334784,0.25497087524288603,0.25497087524288603,0.13768717549970108,Sri Potti Sriramulu Nellore,1
Andhra Pradesh,AP_Srikakulam,0.11988704010109652,0.002800290117742167,0.12292410657201318,0.031521209471766856,1e-05,0.061473445518994425,0.010134306774319871,0.17977530593293245,0.2357979727237785,0.2413583560767305,0.19472106812567305,0.23183124570469446,0.23183124570469446,0.14058085998078929,Srikakulam,1
Andhra Pradesh,AP_Visakhapatnam,0.15391486226122358,0.0036478081441591813,0.15749039180248686,0.050009000000000005,1e-05,0.08773327958546592,0.008417609495359845,0.2857819725877748,0.3746409977656217,0.3835887238253045,0.3097581926474631,0.36971223091840205,0.36971223091840205,0.2038687872044282,Visakhapatnam,1
Andhra Pradesh,AP_Vizianagaram,0.10716912194636967,0.001509454969814716,0.11029484833189508,0.02168534061930783,1e-05,0.04820787190158018,0.00784925075138885,0.1559799540858097,0.20463183254934247,0.2094318579542808,0.16889864638695287,0.20088105493159147,0.20088105493159147,0.11996638714918885,Vizianagaram,1
Andhra Pradesh,AP_West Godavari,0.24497840048245856,0.0042215126543491575,0.2518679105676496,0.048460761384335166,1e-05,0.108957972677985,0.011138011891615807,0.2622049542690962,0.3437608215641493,0.3519551663170859,0.28417270375543546,0.33904602268108697,0.33904602268108697,0.19706665153228287,West Godavari,1
Arunachal Pradesh,AR_Anjaw,0.0005437287191039458,0.0006097819879258863,0.0005364452296052667,1e-05,1e-05,7.373796302475041e-05,6.562855784611589e-05,0.0006128073495957754,0.00023900884137964458,0.0005622382245587323,0.0012726332844768026,0.004094669430475493,0.004094669430475493,0.0007344878062811817,Anjaw,4
Arunachal Pradesh,AR_Changlang,0.003335339225397623,0.0006619369433977025,0.0034101849108010267,0.0003742914389799636,1e-05,0.0011173132587418775,0.0006869543686200514,0.0064322538136715145,0.002449839039622128,0.005893495027235081,0.013461978367445834,0.04352769075982501,0.04352769075982501,0.0077152288244066065,Changlang,4
Arunachal Pradesh,AR_East Kameng,0.0008053604441548996,0.0004924333381142999,0.0008322314668577106,1e-05,1e-05,8.974187674407638e-05,0.0004069227178532307,0.003242388698673337,0.001237996956686451,0.002971225667265129,0.00678052388636008,0.021912916933144785,0.021912916933144785,0.003979364257658095,East Kameng,4
Arunachal Pradesh,AR_East Siang,0.002927193734318135,0.0008053630709451972,0.002957007831707833,0.0003742914389799636,1e-05,0.001046720380517676,0.0005936708526094898,0.004187632458339309,0.0015970987134377606,0.0038371735293195593,0.00876042050457247,0.028317962080727014,0.028317962080727014,0.005229990721546901,East Siang,4
