District_Key,dist_index,covid_index,clusters
AN_Nicobar,0.002470749181283753,1e-05,1
AN_North and Middle Andaman,0.007295352665102823,1.1232238089761784e-05,1
AN_South Andaman,0.017887411977009403,3.7872441138113397e-05,1
AP_Anantapur,0.17970366362054718,0.0975618024355828,0
AP_Chittoor,0.1897773015658935,0.13050322440000345,0
AP_East Godavari,0.24616366318372826,0.1366897280789973,0
AP_Guntur,0.2318489053270715,0.10805449571553616,0
AP_Kadapa,0.13083702850953466,0.07707262751149517,3
AP_Krishna,0.2230630603181027,0.08588259838914833,0
AP_Kurnool,0.18013562233546673,0.08378832488338224,0
AP_Prakasam,0.15098142910130827,0.09233396605961862,0
AP_Sri Potti Sriramulu Nellore,0.13768717549970108,0.08623817858968122,3
AP_Srikakulam,0.14058085998078929,0.061473445518994425,3
AP_Visakhapatnam,0.2038687872044282,0.08773327958546592,0
AP_Vizianagaram,0.11996638714918885,0.04820787190158018,3
AP_West Godavari,0.19706665153228287,0.108957972677985,0
AR_Anjaw,0.0007344878062811817,7.373796302475041e-05,1
AR_Changlang,0.0077152288244066065,0.0011173132587418775,1
AR_East Kameng,0.003979364257658095,8.974187674407638e-05,1
AR_East Siang,0.005229990721546901,0.001046720380517676,1
AR_Kamle,0.0013222729336947216,2.930412944702105e-05,1
AR_Kurung Kumey,0.004360127901783199,5.622358209057975e-05,1
AR_Lohit,0.008344470299074277,0.00012220686891655918,1
AR_Longding,0.003535332170267178,8.116937095520486e-05,1
AR_Lower Dibang Valley,0.0026415709313150435,0.00011145785862782368,1
AR_Lower Subansiri,0.0043280732531430855,0.0003190013488019077,1
AR_Namsai,0.0056911634426349104,0.0006487756682088812,1
AR_Papum Pare,0.009939859648354045,0.006839311293547257,1
AR_Shi Yomi,0.0003642361683708667,5.311280392268818e-05,1
AR_Siang,0.0014630806230508248,0.0001895168398234252,1
AR_Tawang,0.0026466476585796468,0.0003452749810325682,1
AR_Tirap,0.006342041905763064,0.0005436051204087505,1
AR_Upper Dibang Valley,1.0000000000000025e-05,2.649062037056124e-05,1
AR_Upper Siang,0.0014830860119200199,9.742986672129467e-05,1
AR_Upper Subansiri,0.003927518802406803,0.0004723512335335968,1
AR_West Kameng,0.0040912163242029995,0.0009464953590444695,1
AR_West Siang,0.005294335429195875,0.0008743966780792883,1
AS_Baksa,0.04243910857170455,0.0010818114671044359,1
AS_Barpeta,0.07089299203617297,0.0018015658758119735,1
AS_Bishwanath,0.02940419979008177,0.0008279073060095207,1
AS_Bongaigaon,0.03313728063759512,0.001379308811500363,1
AS_Cachar,0.07113120935017035,0.00741605586921903,1
AS_Charaideo,0.022529787569217228,0.0005561033106465613,1
AS_Chirang,0.021108346147826657,0.0007405731723807647,1
AS_Darrang,0.04084890698088674,0.002916219850384948,1
AS_Dhemaji,0.028395902333764426,0.0012188710674434832,1
AS_Dhubri,0.08327504713726458,0.002138044105872723,3
AS_Dibrugarh,0.05511462324140386,0.015195060857259343,1
AS_Dima Hasao,0.007819898443686812,0.0003479435489221344,1
AS_Goalpara,0.04556042954389065,0.0012626461911515578,1
AS_Golaghat,0.04358229782011256,0.0063967068088436035,1
AS_Hailakandi,0.03087399009943928,0.0016647019676845442,1
AS_Jorhat,0.04628872729617442,0.010438030546248044,1
AS_Kamrup,0.06281969212933451,0.005928510507389899,1
AS_Kamrup Metropolitan,0.06652190322324228,0.04166131284322205,3
AS_Karbi Anglong,0.03393135334776248,0.0012973605412187324,1
AS_Karimganj,0.055178493002215084,0.0027366713656313104,1
AS_Kokrajhar,0.03699169198167082,0.0010900918017283372,1
AS_Lakhimpur,0.04554766953294048,0.004158214908144803,1
AS_Majuli,0.007632525478209575,0.0004957560227693205,1
AS_Morigaon,0.04363613944401189,0.0011803247637860465,1
AS_Nagaon,0.11601015772146855,0.005199648192378452,3
AS_Nalbari,0.03763801671535065,0.0018511729095992753,1
AS_Sivasagar,0.04929404951872788,0.0020502608762788792,1
AS_South Salmara,0.029203914247069317,0.00012040390603886819,1
AS_Sonitpur,0.07521874770131838,0.0031297525078925192,1
AS_Tinsukia,0.05377511234491464,0.005745341846806964,1
AS_Udalguri,0.03792570474114639,0.0012133095685681597,1
AS_West Karbi Anglong,0.012091360250875469,0.0001064135169577004,1
BR_Araria,0.0776509618868759,0.006120141833455096,3
BR_Arwal,0.02246324595767601,0.002437720018141919,1
BR_Aurangabad,0.0678080619741676,0.0042265856701744035,1
BR_Banka,0.05520992172245598,0.003923547807620478,1
BR_Begusarai,0.0865124006152145,0.00758410834413702,3
BR_Bhagalpur,0.08519554517986717,0.012883011078946198,3
BR_Bhojpur,0.07668234177620828,0.007003078399509151,3
BR_Buxar,0.050489666458815266,0.004003677773669037,1
BR_Darbhanga,0.11256865151663203,0.005523653100437039,3
BR_East Champaran,0.1351916621258214,0.00991942058224003,3
BR_Gaya,0.11257558390945067,0.010389440295262849,3
BR_Gopalganj,0.07406286010222672,0.004521663229390639,1
BR_Jamui,0.047385292443444534,0.002742300851637514,1
BR_Jehanabad,0.03280216036375639,0.004331939344606052,1
BR_Kaimur,0.043275387516410316,0.002184959338887064,1
BR_Katihar,0.08411066891561023,0.004525862571002165,3
BR_Khagaria,0.04958497349735851,0.0029548124077583768,1
BR_Kishanganj,0.04892966888861675,0.003636241928440936,1
BR_Lakhisarai,0.03003226184319218,0.002808510150005343,1
BR_Madhepura,0.05845724277556336,0.004274000131802696,1
BR_Madhubani,0.1210289143719746,0.00746309156925723,3
BR_Munger,0.04060499206745198,0.006936508830311564,1
