state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits
Andaman and Nicobar Islands,AN_Nicobar,0.0,0.0007041059809891385,0.0,0.0,0,0.0005037980045980715,0.002413554524683062,0.0038972937307332586,0.0019210917663816849,0.0018647896353296807,0.006166453270979149,0.006166453270979149
Andaman and Nicobar Islands,AN_North and Middle Andaman,3.924554366851644e-06,0.0007041059809891385,4.070534216910627e-06,0.0,0,0.0007210103130681991,0.00759818116133091,0.011428966504475169,0.0061295981690823505,0.006770085407146042,0.02228495134663847,0.02228495134663847
Andaman and Nicobar Islands,AN_South Andaman,0.00020015227270943383,0.0010757174709556281,0.00013025709494114007,0.0,0,0.0023228481197809002,0.017593037354400345,0.025948427893401373,0.014242702396352506,0.01622645117073268,0.05335798352521841,0.05335798352521841
Andhra Pradesh,AP_Anantapur,0.26342001365744916,0.0036183224023052948,0.2701898497158767,0.08128415300546447,0,0.005595095179133069,0.27211168439410494,0.3567393398461201,0.3652505606478554,0.2949242093660836,0.35193449718649294,0.35193449718649294
Andhra Pradesh,AP_Chittoor,0.3350823763961602,0.00954454774229721,0.34229936336844846,0.11434426229508196,0,0.007221435237634021,0.27792733310454154,0.36435642927094664,0.37305348362321084,0.30123527947128553,0.3594988079902909,0.3594988079902909
Andhra Pradesh,AP_East Godavari,0.4837680431387016,0.01026821222275827,0.49718319032189784,0.08688524590163935,0,0.012523431857928227,0.3433940692178579,0.45010197687112413,0.4608909588172344,0.37227897240075025,0.444650226847942,0.444650226847942
Andhra Pradesh,AP_Guntur,0.29131182154266383,0.012849934153051778,0.29693325952097954,0.09016393442622951,0,0.011274087438466637,0.3258897359869534,0.4271755454134453,0.4374051929575133,0.35328348631390905,0.4218826520571549,0.4218826520571549
Andhra Pradesh,AP_Kadapa,0.21496354088993194,0.003090242916563441,0.22061074295390526,0.06215846994535519,0,0.004920144343665928,0.19211733728920868,0.25196614502004117,0.2579212221678331,0.2081153325347048,0.24788727319195794,0.24788727319195794
Andhra Pradesh,AP_Krishna,0.18486220889617982,0.01652693205377283,0.1857710405913672,0.08975409836065573,0,0.013636207941294986,0.3018524820298643,0.3956925721400016,0.4051541319830715,0.32719855539511167,0.39061782351361785,0.39061782351361785
Andhra Pradesh,AP_Kurnool,0.23736882177028795,0.0036183224023052948,0.24360926127945032,0.06653005464480874,0,0.0060086981525202445,0.2696617890748965,0.35353057111592057,0.36196350783134645,0.2922656132438344,0.3487479619341134,0.3487479619341134
Andhra Pradesh,AP_Prakasam,0.24288282065571454,0.004752715371676685,0.24872185225589005,0.07896174863387978,0,0.005043310230618722,0.22603177856595538,0.29638583830970244,0.30342461933138076,0.24491886506104169,0.29199918354412313,0.29199918354412313
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,0.24297308540615212,0.011852450679983832,0.24763909015419183,0.06885245901639345,0,0.005947339559590892,0.19755963620635197,0.2590942367588224,0.26522321741784216,0.2140212480584396,0.25496597456237724,0.25496597456237724
Andhra Pradesh,AP_Srikakulam,0.17981915653477545,0.00418551888699099,0.18437484735496687,0.04726775956284153,0,0.012149411117406195,0.1797689013109586,0.23579268857755004,0.24135318314039328,0.19471496242492156,0.2318258822223388,0.2318258822223388
Andhra Pradesh,AP_Visakhapatnam,0.23086191063004793,0.0054568213526658225,0.23622531220997442,0.075,0,0.010089333181095436,0.2857776881415376,0.37463849053543236,0.3835863955532155,0.3097543877352178,0.3697096251109042,0.3697096251109042
Andhra Pradesh,AP_Vizianagaram,0.16074189775750963,0.0022492274392708587,0.1654305811094648,0.032513661202185795,0,0.00940728904744757,0.15597307354728063,0.2046259250678438,0.2094260464752103,0.16889202422743743,0.2008750724330401,0.2008750724330401
Andhra Pradesh,AP_West Godavari,0.36745994992268627,0.006317395329430325,0.3777944217399091,0.0726775956284153,0,0.01335388134756592,0.2622001982730616,0.3437576967180836,0.35195220536119304,0.2841683871231779,0.33904280353715766,0.33904280353715766
Arunachal Pradesh,AR_Anjaw,0.0008006090908377353,0.0008996909757083436,0.0007896836380806617,0.0,0,6.675560452742963e-05,0.0006028194059838953,0.0002290134216480775,0.000552249269544123,0.0012626585376475548,0.004084751125498003,0.004084751125498003
Arunachal Pradesh,AR_Changlang,0.004988108600268439,0.0009779249735960257,0.005100379373789016,0.000546448087431694,0,0.0008123614895738532,0.006422382261316739,0.0024398878373788745,0.005883612699489069,0.01345224741239408,0.04351856113104763,0.04351856113104763
Arunachal Pradesh,AR_East Kameng,0.0011930645275228997,0.000723664480461059,0.00123337186772392,0.0,0,0.00047631678775963195,0.0032324533477402916,0.0012280215171167933,0.002961284892962988,0.006770659299546072,0.021903355000244786,0.021903355000244786
Arunachal Pradesh,AR_East Siang,0.004375878119039583,0.0011930684677871513,0.004420600159564941,0.000546448087431694,0,0.0007004190315120179,0.004177716012659562,0.0015871304560468814,0.003827250074321043,0.0087505955164828,0.028308528251292035,0.028308528251292035
Arunachal Pradesh,AR_Kamle,0.00011381207663869767,0.0007041059809891385,0.00011804549229040818,0.0,0,0.0029059660015371322,0.0006563534023908053,0.00024935119374025515,0.0006012923330520747,0.0013747902257561229,0.004447501643986411,0.004447501643986411
Arunachal Pradesh,AR_Kurung Kumey,0.00045917286092164234,0.0007041059809891385,0.00047625250337854336,0.0,0,0.0003680361050914812,0.0037510037293887167,0.0014250208108014346,0.0034363344130091617,0.00785680891598074,0.02541709267033302,0.02541709267033302
Arunachal Pradesh,AR_Lohit,0.002225222326004882,0.000801898478348741,0.0022876402299037723,0.0,0,0.0015718181179817789,0.006311690287597909,0.0023978355288455204,0.005782206605020613,0.013220393287795987,0.04276850371792635,0.04276850371792635
Arunachal Pradesh,AR_Longding,0.0009732894829792076,0.0007432229799329795,0.0010013514173600143,0.0,0,0.0012930811541427786,0.0023877905578170394,0.0009071308594190497,0.002187480327091598,0.005001438414247814,0.016179854317359566,0.016179854317359566
Arunachal Pradesh,AR_Lower Dibang Valley,0.0018484651067871242,0.0008801324762364231,0.0018805868082127097,0.0,0,0.0003414202455330035,0.002111909277276202,0.0008023224949268848,0.0019347425516530199,0.004423580683069639,0.014310461328337042,0.014310461328337042
Arunachal Pradesh,AR_Lower Subansiri,0.0014952552137704762,0.0007041059809891385,0.0015468030024260383,0.0001366120218579235,0,0.0005986118436016136,0.00343548802477284,0.0013051551754543925,0.0031472871201148247,0.007195933379724755,0.02327913374474324,0.02327913374474324
Arunachal Pradesh,AR_Namsai,0.0016718601602788003,0.0007627814794049,0.0017055538368855529,0.000546448087431694,0,0.0015683872112174178,0.004036931235476352,0.0015336457751977868,0.003698275642525068,0.008455709354695999,0.027354559664110434,0.027354559664110434
Arunachal Pradesh,AR_Papum Pare,0.026451496432580077,0.0025426049313496666,0.02693472491329762,0.003961748633879781,0,0.0015918466042206237,0.007726740148064025,0.00293541843863764,0.00707854883298101,0.01618434031700336,0.052356991501826884,0.052356991501826884
Arunachal Pradesh,AR_Shi Yomi,0.00040815365415257094,0.0007823399788768205,0.0004070534216910627,0.0,0,9.893482939468294e-05,0.00024597196978050725,9.344570176371598e-05,0.0002253375377289086,0.0005152100356796429,0.0016667251757796434,0.0016667251757796434
Arunachal Pradesh,AR_Siang,0.000518041176424417,0.000801898478348741,0.000512887311330739,0.0001366120218579235,0,0.0002649000111699237,0.001099671775378277,0.0004177695566355464,0.0010074210097794475,0.0023033597492190237,0.007451461378923836,0.007451461378923836
Arunachal Pradesh,AR_Tawang,0.0017542758019826847,0.0012713024656748333,0.0016974127684517316,0.0001366120218579235,0,0.000607627058827542,0.001926765138888636,0.0007319855213501677,0.0017651300372416297,0.004035779917683022,0.013055910263539087,0.013055910263539087
Arunachal Pradesh,AR_Tirap,0.00229193975024136,0.000801898478348741,0.002348698243157432,0.000273224043715847,0,0.0012250750209174082,0.004773058090953375,0.0018133032120128468,0.004372649284437749,0.00999759213025572,0.03234261242347932,0.03234261242347932
Arunachal Pradesh,AR_Upper Dibang Valley,9.02647504375878e-05,0.0007041059809891385,9.362228698894443e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,AR_Upper Siang,0.00140891501769974,0.000723664480461059,0.0014572512496540046,0.0,0,0.0001271825986864543,0.0012542185053653206,0.0004764824565314732,0.0011490029129142278,0.0026270715377689526,0.00849868202741351,0.00849868202741351
Arunachal Pradesh,AR_Upper Subansiri,0.0017268039214147232,0.0007041059809891385,0.0017828939870068547,0.000273224043715847,0,0.000288511247363569,0.003452277607193517,0.0013115336026915281,0.003162668235148168,0.007231100644375774,0.023392901259539096,0.023392901259539096
Arunachal Pradesh,AR_West Kameng,0.0035752690282018474,0.0011343929693713897,0.003602422781965905,0.000546448087431694,0,0.0002856508378575029,0.0036269626614501694,0.0013778971297926529,0.003322699071342066,0.007596993933422414,0.024576580757742914,0.024576580757742914
Arunachal Pradesh,AR_West Siang,0.00403444188912349,0.0007823399788768205,0.00415601543546575,0.0004098360655737705,0,0.0003320388256369081,0.004785673214356889,0.00181809574613911,0.004384206133164987,0.010024015621455256,0.03242809347967839,0.03242809347967839
Assam,AS_Baksa,0.002696168850027079,0.0052612363579466175,0.0018195287949590504,0.0009562841530054645,0,0.01247869428968369,0.026523882019671364,0.06322421440924739,0.05804660968267466,0.09218379251743598,0.05149583997699099,0.05149583997699099
Assam,AS_Barpeta,0.004399425445240693,0.002366578436102382,0.004168227038116482,0.001639344262295082,0,0.013710406906706033,0.04736930405585847,0.1123464665339707,0.10330646247542744,0.1642417627229036,0.09333354355188159,0.09333354355188159
Assam,AS_Bishwanath,0.0018327668893197177,0.0023079029376866208,0.0015427324682091277,0.000819672131147541,0,0.01463228104820173,0.016902562353834624,0.04055156764885396,0.03715667466519975,0.05892503840755971,0.03218541683085586,0.03218541683085586
Assam,AS_Bongaigaon,0.0051136943400076915,0.009759691236488337,0.0033948255369034633,0.000819672131147541,0,0.011162120797444138,0.02028973869249577,0.04853345114393354,0.044510956205039455,0.07063375081780524,0.038983632734893706,0.038983632734893706
Assam,AS_Cachar,0.024395029944349816,0.09225744200904906,0.006097660256932119,0.005054644808743169,0,0.012047814408250456,0.04858518387333457,0.11521168820440458,0.1059463966277375,0.16844478780481495,0.0957738692645464,0.0957738692645464
Assam,AS_Charaideo,0.00044347464345423577,0.0006454304825733769,0.0004274060927756159,0.0015027322404371586,0,0.011583899998157147,0.012925474698410114,0.031179557708602253,0.028521569963749792,0.04517713427390314,0.02420322226889617,0.02420322226889617
Assam,AS_Chirang,0.0010988752227184602,0.0017407064530009257,0.0008914469935034274,0.001092896174863388,0,0.006398053331834392,0.013218668375558929,0.031870468821137025,0.029158155907871484,0.046190639359851744,0.024791675221937367,0.024791675221937367
