state,District_Key,confirmed,active,recovered,deceased,migrated_other,covid_index,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,cold_chain_points_access,dist_index,district
Andaman and Nicobar Islands,AN_Nicobar,0.0,0.0004694039873260924,0.0,0.0,0.0,0.0,0.0004198316704983929,0.002413554524683062,0.9961027062692668,0.0019210917663816849,0.0018647896353296807,0.006166453270979149,0.9938335467290208,0.9938335467290208,0.011203822306303636,Nicobar
Andaman and Nicobar Islands,AN_North and Middle Andaman,2.616369577901096e-06,0.0004694039873260924,2.713689477940418e-06,0.0,0.0,0.0,0.0006008419275568325,0.00759818116133091,0.9885710334955249,0.0061295981690823505,0.00677008540714604,0.02228495134663847,0.9777150486533616,0.9777150486533616,0.02360266967105009,North and Middle Andaman
Andaman and Nicobar Islands,AN_South Andaman,0.00013343484847295589,0.0007171449806370855,8.683806329409338e-05,0.0,0.0,0.0,0.0019357067664840838,0.017593037354400348,0.9740515721065987,0.014242702396352508,0.01622645117073268,0.05335798352521841,0.9466420164747816,0.9466420164747816,0.045229663201832464,South Andaman
Andhra Pradesh,AP_Anantapur,0.17561334243829946,0.002412214934870197,0.18012656647725114,0.05418943533697632,0.0,0.0975519751946136,0.004662579315944224,0.2721116843941049,0.64326066015388,0.3652505606478554,0.2949242093660836,0.35193449718649294,0.648065502813507,0.648065502813507,0.21324433187687217,Anantapur
Andhra Pradesh,AP_Chittoor,0.22338825093077347,0.006363031828198141,0.22819957557896564,0.07622950819672131,0.0,0.13049435430461592,0.00601786269802835,0.27792733310454154,0.6356435707290533,0.37305348362321084,0.3012352794712855,0.35949880799029077,0.6405011920097092,0.6405011920097092,0.22309886483898828,Chittoor
Andhra Pradesh,AP_East Godavari,0.3225120287591344,0.0068454748151721805,0.33145546021459854,0.05792349726775956,0.0,0.1366785448292793,0.010436193214940189,0.343394069217858,0.5498980231288759,0.4608909588172344,0.37227897240075025,0.444650226847942,0.555349773152058,0.555349773152058,0.26144555794146884,East Godavari
Andhra Pradesh,AP_Guntur,0.19420788102844255,0.008566622768701185,0.19795550634731968,0.060109289617486336,0.0,0.10804488773994346,0.009395072865388864,0.3258897359869535,0.5728244545865546,0.4374051929575133,0.35328348631390905,0.4218826520571549,0.5781173479428451,0.5781173479428451,0.25286385869373673,Guntur
Andhra Pradesh,AP_Kadapa,0.14330902725995462,0.0020601619443756276,0.14707382863593685,0.04143897996357013,0.0,0.07706218209487702,0.004100120286388272,0.19211733728920863,0.7480338549799588,0.2579212221678331,0.20811533253470485,0.24788727319195794,0.7521127268080421,0.7521127268080421,0.1790377767472888,Kadapa
Andhra Pradesh,AP_Krishna,0.12324147259745322,0.011017954702515223,0.12384736039424481,0.05983606557377049,0.0,0.08587365623839041,0.01136350661774582,0.3018524820298643,0.6043074278599985,0.4051541319830715,0.32719855539511167,0.39061782351361785,0.6093821764863822,0.6093821764863822,0.25248412232043854,Krishna
Andhra Pradesh,AP_Kurnool,0.15824588118019198,0.002412214934870197,0.1624061741863002,0.04435336976320583,0.0,0.08377790926902741,0.0050072484604335365,0.2696617890748965,0.6464694288840794,0.36196350783134645,0.2922656132438344,0.3487479619341134,0.6512520380658866,0.6512520380658866,0.2146184818002004,Kurnool
Andhra Pradesh,AP_Prakasam,0.161921880437143,0.0031684769144511233,0.16581456817059337,0.05264116575591985,0.0,0.09232419264527517,0.004202758525515601,0.2260317785659554,0.7036141616902976,0.30342461933138076,0.24491886506104169,0.29199918354412313,0.7080008164558769,0.7080008164558769,0.1938032227019974,Prakasam
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,0.16198205693743475,0.007901633786655888,0.1650927267694612,0.04590163934426229,0.0,0.08622784908475851,0.004956116299659075,0.19755963620635195,0.7409057632411775,0.26522321741784216,0.2140212480584396,0.25496597456237724,0.7450340254376228,0.7450340254376228,0.1864127593601455,Sri Potti Sriramulu Nellore
Andhra Pradesh,AP_Srikakulam,0.11987943768985031,0.00279034592466066,0.12291656490331124,0.03151183970856102,0.0,0.06146235941480763,0.010124509264505161,0.17976890131095863,0.7642073114224499,0.24135318314039328,0.19471496242492156,0.23182588222233885,0.7681741177776611,0.7681741177776611,0.1973054572299798,Srikakulam
Andhra Pradesh,AP_Visakhapatnam,0.15390794042003195,0.003637880901777216,0.15748354147331628,0.05,0.0,0.08772341204605301,0.008407777650912863,0.2857776881415376,0.6253615094645677,0.3835863955532155,0.3097543877352178,0.3697096251109042,0.6302903748890958,0.6302903748890958,0.23667936586421356,Visakhapatnam
Andhra Pradesh,AP_Vizianagaram,0.10716126517167308,0.0014994849595139062,0.11028705407297654,0.021675774134790528,0.0,0.04819547053260898,0.007839407539539642,0.15597307354728063,0.7953740749321562,0.2094260464752103,0.1688920242274374,0.2008750724330401,0.7991249275669599,0.7991249275669599,0.1773655484560278,Vizianagaram
Andhra Pradesh,AP_West Godavari,0.2449732999484575,0.004211596886286884,0.25186294782660607,0.04845173041894353,0.0,0.10894668553444688,0.011128234456304934,0.2622001982730616,0.6562423032819165,0.35195220536119304,0.2841683871231779,0.33904280353715766,0.6609571964628423,0.6609571964628423,0.23773179017036455,West Godavari
Arunachal Pradesh,AR_Anjaw,0.0005337393938918235,0.0005997939838055625,0.0005264557587204411,0.0,0.0,0.0,5.5629670439524676e-05,0.0006028194059838951,0.999770986578352,0.000552249269544123,0.0012626585376475548,0.004084751125498004,0.995915248874502,0.995915248874502,0.005142471567197617,Anjaw
