state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits
Andaman and Nicobar Islands,AN_Nicobar,0,0,0,0,0,22.253288430200982,1.5446015444333843,3.4249502144,0.2744876368,31.64513154022698,0.04313088665698104,0.04313088665698104
Andaman and Nicobar Islands,AN_North and Middle Andaman,1,0,1,0,0,31.4303704496788,4.427156215393629,9.8166350304,0.7867398888000001,90.70167079022173,0.12362228538942585,0.12362228538942585
Andaman and Nicobar Islands,AN_South Andaman,51,19,32,0,0,99.107,9.984107838729031,22.138442374399997,1.7742531568,204.55010355715578,0.2787925631145643,0.2787925631145643
Andhra Pradesh,AP_Anantapur,67121,149,66377,595,0,237.35735912179825,151.49167748411764,302.861106876,44.498333544000005,3559.888061018339,1.7698025257329242,1.7698025257329242
Andhra Pradesh,AP_Chittoor,85381,452,84092,837,0,306.06919324181627,154.72506853226682,309.3252797472,45.4480920768,3635.8691999169864,1.8075766380718452,1.8075766380718452
Andhra Pradesh,AP_East Godavari,123267,489,122142,636,0,530.0751816415286,191.1233396521279,382.0924499496,56.1395203824,4491.188600647014,2.2327996815423057,2.2327996815423057
Andhra Pradesh,AP_Guntur,74228,621,72947,660,0,477.2911737336494,181.39126036214998,362.636144792,53.280872848,4262.495424568688,2.1191046007690284,2.1191046007690284
Andhra Pradesh,AP_Kadapa,54774,122,54197,455,0,208.8411151767693,107.01632852307425,213.94629888960003,31.434388742400003,2514.7662008247867,1.2502189668779502,1.2502189668779502
Andhra Pradesh,AP_Krishna,47104,809,45638,657,0,577.0892641228372,168.02700030506247,335.91840913360005,49.355328478400004,3948.449989125161,1.9629765441233766,1.9629765441233766
Andhra Pradesh,AP_Kurnool,60483,149,59847,487,0,254.83182195039075,150.1295818713246,300.1380148104,44.098239057600004,3527.8803098964618,1.753889834713554,1.753889834713554
Andhra Pradesh,AP_Prakasam,61888,207,61103,578,0,214.0447956428004,125.87211852813826,251.64266298560003,36.9729849664,2957.8565595485097,1.4705018585183212,1.4705018585183212
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,61911,570,60837,504,0,252.23946038543892,110.04214412442992,219.99548837280003,32.3231752032,2585.869544671767,1.2855680776846663,1.2855680776846663
Andhra Pradesh,AP_Srikakulam,45819,178,45295,346,0,514.2730430015419,100.1508309081539,200.2208438584,29.4177551696,2353.434546187408,1.1700127455126,1.1700127455126
Andhra Pradesh,AP_Visakhapatnam,58825,243,58033,549,0,427.2360591344861,159.08971794031373,318.0510564552,46.7301402288,3738.433667987293,1.8585666836940542,1.8585666836940542
Andhra Pradesh,AP_Vizianagaram,40958,79,40641,238,0,398.4201278482949,86.92079926330926,173.7714567072,25.5316383168,2042.5433310293017,1.0154528131821434,1.0154528131821434
Andhra Pradesh,AP_West Godavari,93631,287,92812,532,0,565.1611449237922,145.98107804916134,291.8443548528,42.8796803232,3430.3950257351835,1.7054249113302418,1.7054249113302418
Arunachal Pradesh,AR_Anjaw,204,10,194,0,0,3.7885247172859446,0.5378669538683898,0.3118978744,0.10787445279999999,24.395868609290684,0.03273543190383991,0.03273543190383991
Arunachal Pradesh,AR_Changlang,1271,14,1253,4,0,35.28989961389961,3.773434192791604,2.1881361096,0.7567989552,171.15051242890445,0.2296571618191957,0.2296571618191957
Arunachal Pradesh,AR_East Kameng,304,1,303,0,0,21.092224479922592,1.999893852419842,1.1596969047999999,0.40109817759999994,90.70858007778037,0.12171669694512773,0.12171669694512773
Arunachal Pradesh,AR_East Siang,1115,25,1086,4,0,30.560401887316125,2.525442074308601,1.4644514024000002,0.5065019888,114.54571168966544,0.1537023913740018,0.1537023913740018
Arunachal Pradesh,AR_Kamle,29,0,29,0,0,123.74336,0.5676308466638951,0.3291573376,0.11384389119999999,25.745860485009885,0.034546909405465454,0.034546909405465454
Arunachal Pradesh,AR_Kurung Kumey,117,0,117,0,0,16.517434437086095,2.2881980890611375,1.3268785432,0.4589203984,103.78510806675197,0.1392633479120302,0.1392633479120302
Arunachal Pradesh,AR_Lohit,567,5,562,0,0,67.37645961698584,3.711891542135602,2.1524488048,0.7444559775999999,168.3591410526316,0.2259115789473684,0.2259115789473684
Arunachal Pradesh,AR_Longding,248,2,246,0,0,55.6,1.5302772645504001,0.887376,0.30691199999999996,69.40832265908489,0.09313509005786877,0.09313509005786877
Arunachal Pradesh,AR_Lower Dibang Valley,471,9,462,0,0,15.392931282051284,1.3768924734002983,0.7984313456000001,0.2761491872,62.45129511788927,0.0837998495310684,0.0837998495310684
Arunachal Pradesh,AR_Lower Subansiri,381,0,380,1,0,26.25911288483466,2.1127773053015098,1.2251556743999998,0.42373805279999993,95.82860067926553,0.1285869620883965,0.1285869620883965
Arunachal Pradesh,AR_Namsai,426,3,419,4,0,67.23150598613736,2.447168392226848,1.41906212,0.49080344,110.99547598565324,0.1489385315175418,0.1489385315175418
Arunachal Pradesh,AR_Papum Pare,6740,94,6617,29,0,68.22265043478261,4.498632588462039,2.608663596,0.902244552,204.04311653704477,0.2737938809976197,0.2737938809976197
Arunachal Pradesh,AR_Shi Yomi,104,4,100,0,0,5.14807652173913,0.3394665065194304,0.196849576,0.06808331199999999,15.397079576540328,0.020660467477837223,0.020660467477837223
Arunachal Pradesh,AR_Siang,132,5,126,1,0,12.16,0.814107504740813,0.47208403200000004,0.16327718400000002,36.92522765463316,0.04954786791078619,0.04954786791078619
