First principal component,Second principal component,Category,district
0.08126591275848037,0.22625434939349903,medium,Dadra and Nagar Haveli
-0.606809981243399,0.2937358628348576,medium,North Goa
-0.6119385109950274,0.30461816993268975,medium,South Goa
0.004132349521876107,0.123926932820698,medium,Ahmedabad
0.004528590052852761,0.12365166843599013,medium,Amreli
0.004209351676109407,0.12387344018440971,low,Anand
0.004460996910692089,0.12369862472448859,low,Aravalli
0.0045145549258838276,0.12366141850012383,low,Banaskantha
0.0045195342990249805,0.123657959378765,medium,Bharuch
0.004506224420009556,0.12366720562030595,medium,Bhavnagar
0.004507631844829477,0.12366622789617934,low,Botad
0.004458251338246592,0.1237005320465589,low,Chhota Udepur
0.0042924085956140764,0.12381574136246731,low,Dahod
0.0045911492215891855,0.12360820919912804,low,Dang
0.00458863481512093,0.12360995593247631,low,Devbhoomi Dwarka
0.0032728847779445133,0.12452399449264084,medium,Gandhinagar
0.00446271529932439,0.12369743097687172,low,Gir Somnath
0.004575203356316129,0.12361928663429653,medium,Jamnagar
0.004471943393628575,0.12369102031086943,low,Junagadh
0.004317655113580262,0.12379820285570009,low,Kheda
0.00464544992252442,0.12357048703830995,low,Kutch
0.004414470750280285,0.12373094598876463,low,Mahisagar
0.004372174543536979,0.12376032874599036,medium,Mehsana
0.004546143409357661,0.12363947429253394,medium,Morbi
0.004534590542629946,0.12364749995498595,medium,Narmada
0.004280624859326825,0.12382392740772288,low,Navsari
0.004375263335430035,0.12375818299275848,low,Panchmahal
0.00452196236373993,0.12365627262618031,medium,Patan
0.004507878634159429,0.12366605645406842,low,Porbandar
0.004490568833908937,0.12367808140139933,medium,Rajkot
0.004459993238948619,0.12369932196533934,low,Sabarkantha
0.0037724098924128073,0.12417697932753058,medium,Surat
0.0045656622979480055,0.12362591471334411,low,Surendranagar
0.004521453036117865,0.12365662645105066,low,Tapi
0.004369104769541514,0.12376246128767651,medium,Vadodara
0.004307216747041565,0.12380545428587444,low,Valsad
-0.08213879517591598,-0.0553447909696215,high,Ambala
-0.06887664463711372,-0.08276530169357346,medium,Bhiwani
-0.08190398367348216,-0.055507912202021586,medium,Charkhi Dadri
-0.09859470968916448,-0.022302004772106504,high,Faridabad
-0.10171892582359546,-0.013983205453453454,medium,Fatehabad
-0.08742895806657078,-0.04469787841137631,high,Gurgaon
-0.07607522169943931,-0.06780990864581536,high,Hissar
-0.059810513384349784,-0.10194589344444319,medium,Jhajjar
-0.066275648135425,-0.08837836370261337,medium,Jind
-0.08191492486816349,-0.05550031146210106,medium,Kaithal
-0.06300878561111392,-0.0953323444370658,medium,Karnal
-0.06678360466944343,-0.08743992586443704,high,Kurukshetra
-0.07650954923708457,-0.06692262014446573,medium,Mahendragarh
-0.08206839787550355,-0.055393695279171457,low,Nuh
-0.08964622957524468,-0.039644169090965395,medium,Palwal
-0.08211280570398291,-0.05536284559917417,high,Panchkula
-0.10085308509382779,-0.0163413928072542,high,Panipat
-0.09683760234521281,-0.024400998069403795,high,Rewari
-0.07242848794533407,-0.0756133476222112,high,Rohtak
-0.0855842754979661,-0.047736057526316905,medium,Sirsa
-0.10357689320349547,-0.01035023206211991,high,Sonipat
-0.18106943760904712,0.3626241274705942,medium,Bilaspur
-0.1999222227126592,0.40236419908108423,medium,Chamba
-0.17506138042064256,0.34995969044788355,medium,Hamirpur
-0.19105706960930247,0.3836160075908853,medium,Kangra
-0.188385876747757,0.37824696358829035,high,Kinnaur
-0.18341433480465685,0.3677664970956456,high,Kullu
-0.18900561391335552,0.3795558370521678,high,Lahaul and Spiti
-0.19042389845248084,0.38229780166594163,high,Mandi
-0.19579486633998333,0.39364131086770054,high,Shimla
-0.18996308672852502,0.3813921148618457,medium,Sirmaur
-0.18355760170453425,0.3678660231964878,high,Solan
-0.1823303964352559,0.36525679946491296,medium,Una
0.12761033030992017,0.18224653137931693,medium,Anantnag
0.12751309927361207,0.1823140768202588,high,Badgam
0.1277724823892745,0.18213388593074922,high,Bandipora
0.12765628634965653,0.18221460617224522,medium,Baramulla
0.12775405381498006,0.18214668807936257,medium,Doda
0.12775795854345542,0.1821439755030429,high,Ganderbal
0.12753306311751517,0.1823002081350063,high,Jammu
0.12770404299447602,0.18218143010259996,medium,Kathua
0.12783685828733435,0.18208916462996308,high,Kishtwar
0.12724946280477165,0.18249722247222694,medium,Kulgam
0.12761495932948613,0.1822433156451277,medium,Kupwara
0.12766954482655074,0.18220539563925037,medium,Poonch
0.1275888937136016,0.18226142317113164,high,Pulwama
0.1277019394655102,0.18218289140340393,medium,Rajouri
0.1277166651331072,0.18217266162751378,medium,Ramban
0.1277356742907623,0.18215945615337195,medium,Reasi
0.12762746882822124,0.18223462541986518,high,Samba
0.12729715794236154,0.18246408913104678,high,Shopian
0.12748251889597667,0.18233532070667596,high,Srinagar
0.12777634233596202,0.1821312044638954,medium,Udhampur
0.0020788570282772346,-0.2775176915436317,medium,Bokaro
0.002366870825566518,-0.2777177718849911,low,Chatra
0.002156858938956091,-0.277571878700852,medium,Deoghar
0.0017034826288381058,-0.27725692265448754,medium,Dhanbad
0.002354882610651806,-0.27770944379045187,low,Dumka
0.002126246642002061,-0.27755061264039926,medium,East Singhbhum
0.002338209018890723,-0.2776978608108771,medium,Garhwa
0.0022234232939959547,-0.277618120301095,low,Giridih
0.0021439334023047388,-0.27756289945815665,low,Godda
0.002425369606937025,-0.27775841041083904,medium,Gumla
0.002263989671063813,-0.27764630136272417,low,Jamtara
0.002410661765959162,-0.27774819301892517,medium,Khunti
0.002193063877795054,-0.2775970299144048,medium,Koderma
