First principal component,Second principal component,Category,district
-0.2879859509862108,0.05408662058142473,low,Nicobar
-0.2689520453004966,0.05992392112200042,low,North and Middle Andaman
-0.23220595884660222,0.07127502504212231,low,South Andaman
0.5444306541615477,0.1303704897779489,high,Anantapur
0.5842790633999317,0.1716602599593431,high,Chittoor
0.8077064928301861,0.22739148809113677,high,East Godavari
0.7030491569716835,0.1322987090069477,high,Guntur
0.3058761575270623,0.12288257570185782,high,Kadapa
0.604976722317049,0.08308591311939721,high,Krishna
0.5287666711617278,0.11499214734856772,high,Kurnool
0.4098869315559919,0.1313430690111033,high,Prakasam
0.3297162619226234,0.13715246968574074,high,Sri Potti Sriramulu Nellore
0.25996953790962707,0.10533516467313604,high,Srikakulam
0.5724558558939199,0.1087959619432413,high,Visakhapatnam
0.18689653574115056,0.0991730166846363,high,Vizianagaram
0.5464448043164015,0.18570566061979474,high,West Godavari
-0.2921606316316888,0.054157313918625036,high,Anjaw
-0.2560542314186227,0.07315612511681713,high,Changlang
-0.27630260872955786,0.06192026158909191,medium,East Kameng
-0.2696720017065344,0.06638524690855903,high,East Siang
-0.29203936056433033,0.05395367149569108,low,Kamle
-0.27341232168553387,0.0630286176942384,low,Kurung Kumey
-0.25756790882462616,0.07130848798748386,medium,Lohit
-0.281423472266771,0.059377952651981016,medium,Longding
-0.2828205033830715,0.05904061599027298,high,Lower Dibang Valley
-0.2749873658261371,0.06268394249112844,medium,Lower Subansiri
-0.2713012327418212,0.0645727925637637,medium,Namsai
-0.24170539884948966,0.08864882500114582,high,Papum Pare
-0.2944107157138669,0.05292731638966802,medium,Shi Yomi
-0.2892565943436167,0.0554610794910855,medium,Siang
-0.28394730278852676,0.05848190242316863,high,Tawang
-0.266736600149562,0.06696610214421977,medium,Tirap
-0.29597552013193107,0.05205482005368796,medium,Upper Dibang Valley
-0.2880824101506737,0.05634651791283434,high,Upper Siang
-0.27480782162110895,0.06287549414845887,medium,Upper Subansiri
-0.27320237638769823,0.06438532993895973,high,West Kameng
-0.2661410135605681,0.06793244647077593,high,West Siang
-0.16217399713472008,0.012841762957633902,low,Baksa
-0.056809472645433304,-0.016917038942505642,low,Barpeta
-0.21078675772727828,0.02656899259593296,low,Bishwanath
-0.1928474241368897,0.02327490232283402,low,Bongaigaon
-0.04512815959608779,-0.007781563892745139,medium,Cachar
-0.23111791328189457,0.031828965062031186,low,Charaideo
-0.2294938669692014,0.03166881034983246,low,Chirang
-0.16705464687708724,0.017608123528358277,medium,Darrang
-0.19973853347677564,0.024076346881441002,low,Dhemaji
-0.0199790451349143,-0.02634083869959833,low,Dhubri
-0.09881780915301261,0.017349891403315044,medium,Dibrugarh
-0.26763256923948914,0.042606053982656336,low,Dima Hasao
-0.15435255339901777,0.010513823826381163,low,Goalpara
-0.14352766392029437,0.015688432391031498,medium,Golaghat
-0.20286420123350726,0.027022144055401258,medium,Hailakandi
-0.13371971848886685,0.024589596101517903,medium,Jorhat
-0.07783737966120863,-0.0020783330564862635,medium,Kamrup
-0.0649179464678877,0.10334002681616858,high,Kamrup Metropolitan
-0.16054060309602372,0.012343337451107595,low,Karbi Anglong
-0.12406139423085974,0.0033712209430933823,low,Karimganj
-0.17187676035674568,0.015165196609122307,low,Kokrajhar
-0.1472057641177406,0.014335427267118115,medium,Lakhimpur
