state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,temp,covid_index,dist_index
Andaman and Nicobar Islands,AN_Nicobar,0.0,0,0,0.0,0,22.253288430200982,1.5446015444333845,3.4249502144,0.2744876368,31.64513154022698,0.04313088665698104,0.04313088665698104,,0.0,0.023768582215052042
Andaman and Nicobar Islands,AN_North and Middle Andaman,2.616369577901096e-06,0,1,0.0,0,31.4303704496788,4.427156215393629,9.816635030399999,0.7867398888000001,90.70167079022171,0.12362228538942585,0.12362228538942585,0.0,0.0,0.0415788833777219
Andaman and Nicobar Islands,AN_South Andaman,0.00013343484847295589,19,32,0.0,0,99.10700000000001,9.984107838729033,22.1384423744,1.7742531568000002,204.55010355715575,0.2787925631145643,0.2787925631145643,0.0,0.0,0.0700102428953045
Andhra Pradesh,AP_Anantapur,0.17561334243829946,149,66377,0.05418943533697632,0,237.35735912179825,151.49167748411762,302.861106876,44.498333544000005,3559.888061018339,1.7698025257329242,1.7698025257329242,0.3085724272688188,0.0975519751946136,0.2388188944470213
Andhra Pradesh,AP_Chittoor,0.22338825093077347,452,84092,0.07622950819672131,0,306.06919324181627,154.72506853226682,309.3252797472,45.4480920768,3635.8691999169855,1.8075766380718448,1.8075766380718448,0.3412422447425148,0.13049435430461592,0.2486799383651517
Andhra Pradesh,AP_East Godavari,0.3225120287591344,489,122142,0.05792349726775956,0,530.0751816415286,191.12333965212792,382.0924499496,56.1395203824,4491.188600647014,2.2327996815423057,2.2327996815423057,0.17960104462032106,0.1366785448292793,0.2770036278299478
Andhra Pradesh,AP_Guntur,0.19420788102844255,621,72947,0.060109289617486336,0,477.2911737336494,181.39126036215,362.636144792,53.280872848,4262.495424568688,2.1191046007690284,2.1191046007690284,0.3095100430485778,0.10804488773994346,0.2714842885732095
Andhra Pradesh,AP_Kadapa,0.14330902725995462,122,54197,0.04143897996357013,0,208.8411151767693,107.01632852307422,213.94629888960003,31.434388742400003,2514.766200824787,1.2502189668779502,1.2502189668779502,0.28915819719020297,0.07706218209487702,0.2153364389274162
Andhra Pradesh,AP_Krishna,0.12324147259745322,809,45638,0.05983606557377049,0,577.0892641228372,168.02700030506247,335.91840913360005,49.355328478400004,3948.449989125161,1.9629765441233769,1.9629765441233769,0.4855189110666875,0.08587365623839041,0.27614474160968794
Andhra Pradesh,AP_Kurnool,0.15824588118019198,149,59847,0.04435336976320583,0,254.83182195039075,150.1295818713246,300.1380148104,44.098239057600004,3527.8803098964618,1.753889834713554,1.753889834713554,0.2802813535013994,0.08377790926902741,0.24083906217040485
