District,Active,Cluster,Cold Chain Points,Density,Elderlies,Full Immunes,Hh More Than 4,Index,Storage Cap Lits,Urbans
Mungeli,0.001408212,6,0.963926981,0.006693039,0.049669361,0.945614052,0.065898760,0.073740602,0.963926981,0.032254775
Narayanpur,0.001486446,6,0.994769280,0.000532840,0.009657012,0.989244142,0.012555939,0.029531393,0.994769280,0.006152981
Raigarh,0.011422164,3,0.920428157,0.005539075,0.106101279,0.884079806,0.141131478,0.121978870,0.920428157,0.069067770
Raipur,0.138180799,2,0.779342989,0.008149197,0.289133967,0.684498104,0.385143144,0.236615860,0.779342989,0.188467950
Rajnandgaon,0.025699868,3,0.918017188,0.004996610,0.109229078,0.880669205,0.145301330,0.134572405,0.918017188,0.071108169
Sukma,0.001682031,6,0.988793410,0.001139906,0.017409632,0.980790565,0.022891413,0.041145420,0.988793410,0.011210352
Surajpur,0.009309846,6,0.966202496,0.002537645,0.046717288,0.948833038,0.061963178,0.080913525,0.966202496,0.030329010
Surguja,0.011656866,6,0.979364362,0.003368131,0.029642129,0.967452058,0.039199277,0.073066668,0.979364362,0.019190142
Daman,0.000762781,6,0.987208853,0.069861231,0.007176055,0.982753825,0.119981602,0.074676853,0.987208853,0.022008398
Diu,0.000762781,6,0.998313391,0.035120255,0.001711669,0.995403063,0.032126367,0.041244143,0.998313391,0.005729626
Dadra and Nagar Haveli,0.000743223,0,0.975031613,0.018401513,0.013168302,0.968882667,0.216323677,0.078420778,0.975031613,0.039859704
North Goa,0.032760487,0,0.951253441,0.012375360,0.083340524,0.903914468,0.063150840,0.143201186,0.951253441,0.101323352
South Goa,0.039390818,0,0.962389154,0.008544608,0.065147862,0.924835665,0.049254434,0.128270031,0.962389154,0.079214183
Ahmedabad,0.059360046,1,0.393477140,0.021766365,0.519904886,0.482545666,0.711170750,0.261557773,0.393477140,0.613741771
Amreli,0.004948300,3,0.874591065,0.005870310,0.108908360,0.891451770,0.148731878,0.119381374,0.874591065,0.128588537
Anand,0.001975408,9,0.825871084,0.018677256,0.150527905,0.850043912,0.205687226,0.136097083,0.825871084,0.177717558
Aravalli,0.002131876,0,0.913612536,0.008581957,0.075573866,0.924616717,0.103114424,0.099772366,0.913612536,0.089239451
Banaskantha,0,9,0.739207761,0.006433360,0.224560942,0.776387423,0.306999658,0,0.739207761,0.265108484
Bharuch,0.003422737,3,0.871447502,0.006233602,0.111593781,0.888780008,0.152406812,0.115771469,0.871447502,0.131758492
Bhavnagar,0.002835982,9,0.759322573,0.006767557,0.207377657,0.793483311,0.283484745,0.137312196,0.759322573,0.244824793
Botad,0.002034084,6,0.947047189,0.006711095,0.047011970,0.953033342,0.064028154,0.081519087,0.947047189,0.055524089
Chhota Udepur,0.001251744,0,0.911915631,0.008692102,0.077023465,0.923174492,0.105098165,0.094103797,0.911915631,0.090950603
Dahod,0.003735673,9,0.822805756,0.015345246,0.153146494,0.847438642,0.209270701,0.144547317,0.822805756,0.180808622
Dang,0.000860574,6,0.983311707,0.003360613,0.016032632,0.983855112,0.021633674,0.045412215,0.983311707,0.018955104
Devbhoomi Dwarka,0.001818940,0,0.938896045,0.003461483,0.053975168,0.946105559,0.073557124,0.077703198,0.938896045,0.063743668
Gandhinagar,0.010600707,3,0.885247816,0.056245673,0.099804721,0.900509106,0.136273766,0.169282981,0.885247816,0.117842314
Gir Somnath,0.003618322,0,0.899610554,0.008513020,0.087535204,0.912716218,0.119483227,0.111907505,0.899610554,0.103358990
Jamnagar,0.008214570,9,0.820053872,0.004000316,0.155497319,0.845099773,0.212487749,0.135447290,0.820053872,0.183583610
Junagadh,0.005554614,9,0.770784815,0.008142815,0.197585918,0.803225247,0.270084985,0.150888127,0.770784815,0.233266317
Kheda,0.002718631,9,0.808242363,0.014332427,0.165587422,0.835060991,0.226295812,0.140941431,0.808242363,0.195494285
Kutch,0.005632848,9,0.825867958,0.001182221,0.150530576,0.850041255,0.205690880,0.109877362,0.825867958,0.177720710
Mahisagar,0.002601280,0,0.918438557,0.010448456,0.071451188,0.928718426,0.097472638,0.102840658,0.918438557,0.084372912
